,TC Index,TC Variables,TC Value
222,"(3, 6, 9)","('animal4', 'animal7', 'animal10')",4.372872897118185e-11
218,"(3, 5, 9)","('animal4', 'animal6', 'animal10')",4.287136617930898e-11
149,"(1, 4, 9)","('animal2', 'animal5', 'animal10')",4.088018118464376e-11
254,"(5, 5, 9)","('animal6', 'animal6', 'animal10')",4.042133641690704e-11
245,"(4, 7, 8)","('animal5', 'animal8', 'animal9')",3.992315505962907e-11
268,"(6, 6, 9)","('animal7', 'animal7', 'animal10')",3.960658190305111e-11
157,"(1, 6, 8)","('animal2', 'animal7', 'animal9')",3.894918068625408e-11
191,"(2, 6, 6)","('animal3', 'animal7', 'animal7')",3.84144036025269e-11
197,"(2, 7, 9)","('animal3', 'animal8', 'animal10')",3.830885955680152e-11
221,"(3, 6, 8)","('animal4', 'animal7', 'animal9')",3.810953289051788e-11
188,"(2, 5, 7)","('animal3', 'animal6', 'animal8')",3.7846486361514664e-11
101,"(0, 4, 6)","('animal1', 'animal5', 'animal7')",3.747401694509378e-11
199,"(2, 8, 9)","('animal3', 'animal9', 'animal10')",3.709722459777076e-11
185,"(2, 4, 9)","('animal3', 'animal5', 'animal10')",3.6396458763521267e-11
220,"(3, 6, 7)","('animal4', 'animal7', 'animal8')",3.576225079959805e-11
133,"(1, 2, 6)","('animal2', 'animal3', 'animal7')",3.5073437210098035e-11
106,"(0, 5, 6)","('animal1', 'animal6', 'animal7')",3.473186668823125e-11
238,"(4, 5, 8)","('animal5', 'animal6', 'animal9')",3.331309186838105e-11
154,"(1, 5, 9)","('animal2', 'animal6', 'animal10')",3.3153230161175884e-11
266,"(6, 6, 7)","('animal7', 'animal7', 'animal8')",3.269249454485035e-11
260,"(5, 7, 8)","('animal6', 'animal8', 'animal9')",3.23869472906857e-11
156,"(1, 6, 7)","('animal2', 'animal7', 'animal8')",3.228300959889907e-11
279,"(7, 8, 9)","('animal8', 'animal9', 'animal10')",2.967138687526294e-11
158,"(1, 6, 9)","('animal2', 'animal7', 'animal10')",2.933854895137422e-11
190,"(2, 5, 9)","('animal3', 'animal6', 'animal10')",2.702730400594433e-11
267,"(6, 6, 8)","('animal7', 'animal7', 'animal9')",2.6208550954476273e-11
237,"(4, 5, 7)","('animal5', 'animal6', 'animal8')",2.601695248127811e-11
231,"(4, 4, 6)","('animal5', 'animal5', 'animal7')",2.5826995056488222e-11
210,"(3, 4, 6)","('animal4', 'animal5', 'animal7')",2.398280532500685e-11
250,"(5, 5, 5)","('animal6', 'animal6', 'animal6')",2.386674885501705e-11
194,"(2, 6, 9)","('animal3', 'animal7', 'animal10')",2.2899241530760506e-11
215,"(3, 5, 6)","('animal4', 'animal6', 'animal7')",2.2135447988458345e-11
248,"(4, 8, 9)","('animal5', 'animal9', 'animal10')",2.1316842388485746e-11
251,"(5, 5, 6)","('animal6', 'animal6', 'animal7')",2.0170105169414754e-11
246,"(4, 7, 9)","('animal5', 'animal8', 'animal10')",2.0160911134992077e-11
151,"(1, 5, 6)","('animal2', 'animal6', 'animal7')",1.8004183213737868e-11
146,"(1, 4, 6)","('animal2', 'animal5', 'animal7')",1.755344307408091e-11
193,"(2, 6, 8)","('animal3', 'animal7', 'animal9')",1.7195129001223997e-11
192,"(2, 6, 7)","('animal3', 'animal7', 'animal8')",1.705740410029577e-11
263,"(5, 8, 9)","('animal6', 'animal9', 'animal10')",1.6895550930540182e-11
240,"(4, 6, 6)","('animal5', 'animal7', 'animal7')",1.6886360365564457e-11
271,"(6, 7, 9)","('animal7', 'animal8', 'animal10')",1.6417041337479787e-11
270,"(6, 7, 8)","('animal7', 'animal8', 'animal9')",1.6210179032416505e-11
261,"(5, 7, 9)","('animal6', 'animal8', 'animal10')",1.6137239114422108e-11
239,"(4, 5, 9)","('animal5', 'animal6', 'animal10')",1.5049829438229523e-11
182,"(2, 4, 6)","('animal3', 'animal5', 'animal7')",1.457589431097528e-11
255,"(5, 6, 6)","('animal6', 'animal7', 'animal7')",1.367554940817639e-11
187,"(2, 5, 6)","('animal3', 'animal6', 'animal7')",1.2406030196199236e-11
273,"(6, 8, 9)","('animal7', 'animal9', 'animal10')",1.205194277709154e-11
242,"(4, 6, 8)","('animal5', 'animal7', 'animal9')",9.915128613979807e-12
265,"(6, 6, 6)","('animal7', 'animal7', 'animal7')",9.485566845879312e-12
241,"(4, 6, 7)","('animal5', 'animal7', 'animal8')",9.27502605968522e-12
243,"(4, 6, 9)","('animal5', 'animal7', 'animal10')",9.092887900963298e-12
257,"(5, 6, 8)","('animal6', 'animal7', 'animal9')",8.525338421327966e-12
256,"(5, 6, 7)","('animal6', 'animal7', 'animal8')",7.885436227594855e-12
258,"(5, 6, 9)","('animal6', 'animal7', 'animal10')",7.284732712886655e-12
236,"(4, 5, 6)","('animal5', 'animal6', 'animal7')",6.8197322788954295e-12
