,TC Index,TC Variables,TC Value
190,"(2, 5, 9)","('animal3', 'animal6', 'animal10')",1.590878309798427e-05
184,"(2, 4, 8)","('animal3', 'animal5', 'animal9')",1.577719194756355e-05
188,"(2, 5, 7)","('animal3', 'animal6', 'animal8')",1.571326174598653e-05
263,"(5, 8, 9)","('animal6', 'animal9', 'animal10')",1.5274796169251204e-05
243,"(4, 6, 9)","('animal5', 'animal7', 'animal10')",1.4748998182767536e-05
230,"(4, 4, 5)","('animal5', 'animal5', 'animal6')",1.4736870980414096e-05
248,"(4, 8, 9)","('animal5', 'animal9', 'animal10')",1.3700561794394162e-05
258,"(5, 6, 9)","('animal6', 'animal7', 'animal10')",1.2696360499830917e-05
256,"(5, 6, 7)","('animal6', 'animal7', 'animal8')",1.205459648190299e-05
241,"(4, 6, 7)","('animal5', 'animal7', 'animal8')",1.1752992577385157e-05
250,"(5, 5, 5)","('animal6', 'animal6', 'animal6')",1.128690655605169e-05
257,"(5, 6, 8)","('animal6', 'animal7', 'animal9')",9.670953659224324e-06
229,"(4, 4, 4)","('animal5', 'animal5', 'animal5')",8.711364898772445e-06
182,"(2, 4, 6)","('animal3', 'animal5', 'animal7')",8.612757483206224e-06
187,"(2, 5, 6)","('animal3', 'animal6', 'animal7')",8.436504685960244e-06
239,"(4, 5, 9)","('animal5', 'animal6', 'animal10')",8.283156603283715e-06
242,"(4, 6, 8)","('animal5', 'animal7', 'animal9')",8.040712600632105e-06
237,"(4, 5, 7)","('animal5', 'animal6', 'animal8')",7.952518899401184e-06
238,"(4, 5, 8)","('animal5', 'animal6', 'animal9')",7.852602720959112e-06
181,"(2, 4, 5)","('animal3', 'animal5', 'animal6')",7.16860631655436e-06
236,"(4, 5, 6)","('animal5', 'animal6', 'animal7')",4.526001703197835e-06
